case_id,source_experiment,source_artifact_path,dataset,model_family,explainer,instance_id,prediction,prediction_confidence,true_label,normalized_explanation,explanation_length_tokens,quadrant,random_seed,sample_size,technical_metrics
exp4_103d89f1e4cb72f6,exp2_scaled,experiments\exp2_scaled\results\logreg_dice\seed_789\n_50\results.json,adult,logreg,dice,7218,0,,1,DICE top local factors: capital-gain: 8.9161; education_Bachelors: 0.3000; age: 0.0000; fnlwgt: 0.0000; education-num: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000,80,FN,789,50,"{""cost"": 461.1672500000168, ""faithfulness_gap"": 0.04883846733826086, ""fidelity"": 0.17625675839715507, ""runtime_ms"": 461.1672500000168, ""sparsity"": 0.018518518518518517, ""stability"": 0.35894736615729306}"
exp4_10ccf6bdc14f2a99,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\rf_shap\seed_42\n_100\results.json,breast_cancer,rf,shap,4,0,,0,SHAP top local factors: worst area: -0.0782; worst radius: -0.0688; worst concave points: -0.0673; worst perimeter: -0.0563; mean concave points: -0.0421; area error: -0.0383; mean perimeter: -0.0351; mean concavity: -0.0311; radius error: -0.0238; mean radius: -0.0236,86,TN,42,100,"{""cost"": 1006.7131030373275, ""faithfulness_gap"": 0.27999999999999997, ""fidelity"": 0.6715844229464485, ""runtime_ms"": 1006.7131030373275, ""sparsity"": 1.0, ""stability"": 0.9985698315517286}"
exp4_1759e90b50c033fd,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\xgb_shap\seed_42\n_100\results.json,german_credit,xgb,shap,88,1,,0,SHAP top local factors: checking_status_no checking: 0.1637; purpose_radio/tv: 0.0500; duration: -0.0389; residence_since: -0.0353; savings_status_<100: -0.0234; credit_history_critical/other existing credit: -0.0201; purpose_new car: 0.0147; personal_status_male single: 0.0131; installment_commitment: -0.0120; other_payment_plans_none: 0.0118,80,FP,42,100,"{""cost"": 1000.6309190002867, ""faithfulness_gap"": 0.21707618236541748, ""fidelity"": 0.9324464775036045, ""runtime_ms"": 1000.6309190002867, ""sparsity"": 0.819672131147541, ""stability"": 0.2969950620134293}"
exp4_18fe52436b35526b,exp2_scaled,experiments\exp2_scaled\results\mlp_anchors\seed_789\n_100\results.json,adult,mlp,anchors,3933,1,,0,ANCHORS top local factors: age: 1.0000; fnlwgt: 1.0000; education-num: 1.0000; workclass_Private: 1.0000; workclass_State-gov: 1.0000; workclass_nan: 1.0000; education_10th: 1.0000; education_5th-6th: 1.0000; education_7th-8th: 1.0000; education_9th: 1.0000,72,FP,789,100,"{""cost"": 29267.69541700196, ""faithfulness_gap"": 0.14265960103387287, ""fidelity"": 0.21890321804719062, ""runtime_ms"": 29267.69541700196, ""sparsity"": 0.25925925925925924, ""stability"": 0.0}"
exp4_196e6ce035ebf3e3,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\xgb_shap\seed_123\n_100\results.json,german_credit,xgb,shap,193,1,,1,SHAP top local factors: checking_status_no checking: -0.0754; checking_status_<0: -0.0727; savings_status_<100: 0.0519; credit_amount: 0.0518; savings_status_>=1000: 0.0429; duration: -0.0355; personal_status_male single: -0.0351; own_telephone_none: -0.0272; purpose_new car: 0.0210; credit_history_critical/other existing credit: -0.0210,84,TP,123,100,"{""cost"": 1000.9542500001771, ""faithfulness_gap"": 0.16666078567504883, ""fidelity"": 0.44364543227809605, ""runtime_ms"": 1000.9542500001771, ""sparsity"": 0.7704918032786885, ""stability"": 0.5792477951064489}"
exp4_19b944710e090900,exp2_scaled,experiments\exp2_scaled\results\mlp_lime\seed_789\n_200\results.json,adult,mlp,lime,4114,0,,1,LIME top local factors: education_7th-8th: -0.0223; occupation_Machine-op-inspct: -0.0122; fnlwgt: -0.0072; education-num: 0.0058; sex_Male: -0.0046; workclass_Private: -0.0032; marital-status_Married-civ-spouse: -0.0017; education_HS-grad: 0.0012; age: 0.0012; sex_Female: -0.0009,87,FN,789,200,"{""cost"": 2.8067079838365316, ""faithfulness_gap"": 0.44598854654711867, ""fidelity"": 0.5886518213262169, ""runtime_ms"": 2.8067079838365316, ""sparsity"": 0.09259259259259259, ""stability"": 0.06771732967959955}"
exp4_1a9c16ecde743d5e,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\xgb_shap\seed_456\n_100\results.json,german_credit,xgb,shap,57,0,,1,SHAP top local factors: checking_status_no checking: -0.1294; employment_4<=X<7: -0.0584; savings_status_<100: 0.0486; duration: -0.0486; housing_own: -0.0470; credit_amount: 0.0389; installment_commitment: -0.0369; property_magnitude_no known property: -0.0331; checking_status_<0: 0.0309; savings_status_100<=X<500: -0.0308,88,FN,456,100,"{""cost"": 1000.9677809994173, ""faithfulness_gap"": 0.07953658699989319, ""fidelity"": 0.27969758978845705, ""runtime_ms"": 1000.9677809994173, ""sparsity"": 0.8524590163934426, ""stability"": 0.8632186239705228}"
exp4_1c49ba0b8d18e8b6,exp2_scaled,experiments\exp2_scaled\results\logreg_dice\seed_456\n_200\results.json,adult,logreg,dice,4462,0,,0,DICE top local factors: hours-per-week: 2.3633; age: 0.0000; fnlwgt: 0.0000; education-num: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000; workclass_Private: 0.0000,80,TN,456,200,"{""cost"": 575.8937909849919, ""faithfulness_gap"": 0.048243154109660735, ""fidelity"": 0.07626292234254929, ""runtime_ms"": 575.8937909849919, ""sparsity"": 0.009259259259259259, ""stability"": 0.02978852882905053}"
exp4_1c525ff1deb5c1a6,exp2_scaled,experiments\exp2_scaled\results\mlp_dice\seed_123\n_200\results.json,adult,mlp,dice,3581,0,,1,DICE top local factors: marital-status_Never-married: 0.6000; age: 0.0000; fnlwgt: 0.0000; education-num: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000,84,FN,123,200,"{""cost"": 472.8183329862077, ""faithfulness_gap"": 0.4107534504773481, ""fidelity"": 0.5806382004588934, ""runtime_ms"": 472.8183329862077, ""sparsity"": 0.009259259259259259, ""stability"": 0.07488944960931262}"
exp4_1de08b8c2918a436,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\rf_anchors\seed_123\n_100\results.json,german_credit,rf,anchors,177,1,,0,ANCHORS top local factors: checking_status_no checking: 1.0000; savings_status_<100: 1.0000; property_magnitude_real estate: 1.0000; duration: 0.0000; credit_amount: 0.0000; installment_commitment: 0.0000; residence_since: 0.0000; age: 0.0000; existing_credits: 0.0000; num_dependents: 0.0000,68,FP,123,100,"{""cost"": 2007.2232020029332, ""faithfulness_gap"": 0.2799999999999999, ""fidelity"": 0.7827180641361267, ""runtime_ms"": 2007.2232020029332, ""sparsity"": 0.04918032786885246, ""stability"": 0.5951118588350178}"
exp4_20242fe53fbadae4,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\rf_anchors\seed_42\n_100\results.json,german_credit,rf,anchors,160,0,,1,ANCHORS top local factors: duration: 1.0000; credit_amount: 1.0000; installment_commitment: 1.0000; checking_status_no checking: 1.0000; credit_history_critical/other existing credit: 1.0000; savings_status_<100: 1.0000; employment_<1: 1.0000; personal_status_male single: 1.0000; property_magnitude_no known property: 1.0000; residence_since: 0.0000,76,FN,42,100,"{""cost"": 5003.483500000584, ""faithfulness_gap"": 0.24, ""fidelity"": 0.5936108304730601, ""runtime_ms"": 5003.483500000584, ""sparsity"": 0.14754098360655737, ""stability"": 0.6675343269362676}"
exp4_214506591db1e703,exp2_scaled,experiments\exp2_scaled\results\mlp_dice\seed_456\n_100\results.json,adult,mlp,dice,3392,1,,0,DICE top local factors: marital-status_Married-civ-spouse: 0.3000; marital-status_Married-spouse-absent: 0.1000; age: 0.0000; fnlwgt: 0.0000; education-num: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000,90,FP,456,100,"{""cost"": 507.06129102036357, ""faithfulness_gap"": 0.5641766273885108, ""fidelity"": 0.5294774291539551, ""runtime_ms"": 507.06129102036357, ""sparsity"": 0.018518518518518517, ""stability"": 0.023050881637988612}"
exp4_25c0ece7cf9b15de,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\rf_shap\seed_42\n_100\results.json,german_credit,rf,shap,76,0,,0,SHAP top local factors: duration: 0.0606; credit_history_all paid: -0.0603; checking_status_no checking: -0.0443; checking_status_0<=X<200: -0.0313; purpose_education: -0.0258; installment_commitment: -0.0231; other_payment_plans_bank: -0.0221; savings_status_<100: 0.0203; other_payment_plans_none: -0.0202; savings_status_>=1000: 0.0196,83,TN,42,100,"{""cost"": 1000.8445889998256, ""faithfulness_gap"": 0.06000000000000005, ""fidelity"": 0.7639245244795602, ""runtime_ms"": 1000.8445889998256, ""sparsity"": 0.8524590163934426, ""stability"": 0.993234884610181}"
exp4_27ff1641b5ef1b1a,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\xgb_shap\seed_42\n_100\results.json,breast_cancer,xgb,shap,111,0,,0,SHAP top local factors: worst concave points: -0.1033; area error: -0.0916; mean concave points: -0.0790; worst perimeter: -0.0625; worst area: -0.0586; worst radius: -0.0571; worst concavity: -0.0324; mean area: -0.0195; worst smoothness: -0.0194; mean concavity: -0.0133,86,TN,42,100,"{""cost"": 1001.2715999037027, ""faithfulness_gap"": 0.027677621692419052, ""fidelity"": 0.4661580109222866, ""runtime_ms"": 1001.2715999037027, ""sparsity"": 0.3333333333333333, ""stability"": 0.9749897556454015}"
exp4_28188c86ac4bdfad,exp2_scaled,experiments\exp2_scaled\results\mlp_lime\seed_456\n_100\results.json,adult,mlp,lime,7045,0,,0,LIME top local factors: workclass_Local-gov: -0.0274; relationship_Unmarried: -0.0202; occupation_Other-service: -0.0163; sex_Female: -0.0141; education_Some-college: -0.0112; marital-status_Married-civ-spouse: 0.0083; sex_Male: 0.0070; workclass_Private: 0.0070; education_HS-grad: -0.0020; age: 0.0003,84,TN,456,100,"{""cost"": 3.2467080163769424, ""faithfulness_gap"": 0.16460890906879747, ""fidelity"": 0.6690270111870593, ""runtime_ms"": 3.2467080163769424, ""sparsity"": 0.09259259259259259, ""stability"": -0.008549307996987143}"
exp4_282b2b337bb41d87,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\xgb_anchors\seed_456\n_100\results.json,breast_cancer,xgb,anchors,8,0,,1,ANCHORS top local factors: area error: 1.0000; fractal dimension error: 1.0000; worst texture: 1.0000; worst concave points: 1.0000; mean radius: 0.0000; mean texture: 0.0000; mean perimeter: 0.0000; mean area: 0.0000; mean smoothness: 0.0000; mean compactness: 0.0000,76,FN,456,100,"{""cost"": 2004.489399958402, ""faithfulness_gap"": 0.24500828981399536, ""fidelity"": 0.5808748995118134, ""runtime_ms"": 2004.489399958402, ""sparsity"": 0.13333333333333333, ""stability"": 0.4328943166358606}"
exp4_28cfcd5501fa69b2,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\xgb_anchors\seed_42\n_100\results.json,german_credit,xgb,anchors,16,0,,1,ANCHORS top local factors: duration: 1.0000; checking_status_no checking: 1.0000; credit_history_delayed previously: 1.0000; employment_<1: 1.0000; credit_amount: 0.0000; installment_commitment: 0.0000; residence_since: 0.0000; age: 0.0000; existing_credits: 0.0000; num_dependents: 0.0000,68,FN,42,100,"{""cost"": 2002.8573739982676, ""faithfulness_gap"": 0.18889552354812622, ""fidelity"": 0.4676550468158618, ""runtime_ms"": 2002.8573739982676, ""sparsity"": 0.06557377049180328, ""stability"": 0.7434633701543205}"
exp4_2a3f635ae972c4ad,exp2_scaled,experiments\exp2_scaled\results\logreg_lime\seed_999\n_100\results.json,adult,logreg,lime,7537,0,,1,LIME top local factors: capital-gain: 0.1291; education-num: 0.0409; marital-status_Married-civ-spouse: 0.0365; sex_Female: -0.0263; marital-status_Never-married: -0.0261; relationship_Own-child: -0.0210; relationship_Husband: -0.0166; marital-status_Divorced: -0.0130; hours-per-week: 0.0129; education_HS-grad: -0.0090,94,FN,999,100,"{""cost"": 3.004625003086403, ""faithfulness_gap"": 0.15441077277888773, ""fidelity"": 0.6985651955874266, ""runtime_ms"": 3.004625003086403, ""sparsity"": 0.09259259259259259, ""stability"": -0.010323889537637496}"
exp4_2a63737c16fa6edb,exp2_scaled,experiments\exp2_scaled\results\logreg_lime\seed_789\n_200\results.json,adult,logreg,lime,8772,0,,0,LIME top local factors: education_7th-8th: -0.0095; occupation_Handlers-cleaners: -0.0066; hours-per-week: 0.0048; education-num: 0.0037; capital-gain: 0.0035; age: -0.0033; relationship_Husband: -0.0017; marital-status_Married-civ-spouse: -0.0007; sex_Female: 0.0003; marital-status_Never-married: 0.0001,91,TN,789,200,"{""cost"": 2.8521670028567314, ""faithfulness_gap"": 0.5982181134239704, ""fidelity"": 0.5214384432684172, ""runtime_ms"": 2.8521670028567314, ""sparsity"": 0.08333333333333333, ""stability"": 0.08313890945664147}"
exp4_2fb8d841944fa76b,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\xgb_anchors\seed_456\n_100\results.json,german_credit,xgb,anchors,29,1,,0,ANCHORS top local factors: purpose_furniture/equipment: 1.0000; savings_status_<100: 1.0000; savings_status_no known savings: 1.0000; housing_own: 1.0000; duration: 0.0000; credit_amount: 0.0000; installment_commitment: 0.0000; residence_since: 0.0000; age: 0.0000; existing_credits: 0.0000,70,FP,456,100,"{""cost"": 1000.627938999969, ""faithfulness_gap"": 0.2472543716430664, ""fidelity"": 0.3481493967264205, ""runtime_ms"": 1000.627938999969, ""sparsity"": 0.06557377049180328, ""stability"": 0.6574683821537902}"
exp4_3118a0f719dfdef8,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\xgb_shap\seed_42\n_100\results.json,breast_cancer,xgb,shap,65,1,,0,SHAP top local factors: worst perimeter: 0.0984; mean smoothness: 0.0452; worst concave points: 0.0438; area error: 0.0332; worst smoothness: 0.0330; worst symmetry: 0.0235; mean area: 0.0229; worst radius: 0.0159; worst area: 0.0106; worst compactness: 0.0024,75,FP,42,100,"{""cost"": 1001.2529999949038, ""faithfulness_gap"": 0.800236165523529, ""fidelity"": 0.8753118935855762, ""runtime_ms"": 1001.2529999949038, ""sparsity"": 0.3333333333333333, ""stability"": 0.41895458942568686}"
exp4_31247e881a13bce1,exp2_scaled,experiments\exp2_scaled\results\mlp_lime\seed_999\n_100\results.json,adult,mlp,lime,3842,0,,0,LIME top local factors: occupation_Machine-op-inspct: -0.0587; age: 0.0446; occupation_Other-service: -0.0297; workclass_Private: -0.0274; education_Some-college: -0.0218; education_HS-grad: -0.0176; relationship_Husband: -0.0166; marital-status_Married-civ-spouse: 0.0166; sex_Male: -0.0148; marital-status_Never-married: -0.0021,92,TN,999,100,"{""cost"": 3.153416997520253, ""faithfulness_gap"": 0.5911167383135305, ""fidelity"": 0.6104231182318206, ""runtime_ms"": 3.153416997520253, ""sparsity"": 0.09259259259259259, ""stability"": 0.05786055124185475}"
exp4_326c5e1bf0274243,exp2_scaled,experiments\exp2_scaled\results\logreg_anchors\seed_456\n_200\results.json,adult,logreg,anchors,1530,1,,0,ANCHORS top local factors: education-num: 1.0000; occupation_Exec-managerial: 1.0000; relationship_Husband: 1.0000; age: 0.0000; fnlwgt: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000,80,FP,456,200,"{""cost"": 1116.7981660000805, ""faithfulness_gap"": 0.3047007237011306, ""fidelity"": 0.6236769750426376, ""runtime_ms"": 1116.7981660000805, ""sparsity"": 0.027777777777777776, ""stability"": 0.0}"
exp4_36ff2c1056b28459,exp2_scaled,experiments\exp2_scaled\results\logreg_dice\seed_789\n_200\results.json,adult,logreg,dice,4533,0,,1,DICE top local factors: native-country_Italy: 0.5000; age: 0.0000; fnlwgt: 0.0000; education-num: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000,82,FN,789,200,"{""cost"": 468.1962910108268, ""faithfulness_gap"": 0.021683793693046627, ""fidelity"": -0.03379238409526801, ""runtime_ms"": 468.1962910108268, ""sparsity"": 0.009259259259259259, ""stability"": 0.0488563046029764}"
exp4_3830b6d4d8e8784b,exp2_scaled,experiments\exp2_scaled\results\logreg_anchors\seed_456\n_200\results.json,adult,logreg,anchors,2640,0,,0,ANCHORS top local factors: education-num: 1.0000; occupation_Other-service: 1.0000; age: 0.0000; fnlwgt: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000,82,TN,456,200,"{""cost"": 227.88541699992493, ""faithfulness_gap"": 0.15378966510298148, ""fidelity"": 0.6539850504611149, ""runtime_ms"": 227.88541699992493, ""sparsity"": 0.018518518518518517, ""stability"": 0.0}"
exp4_3c34585b1d65d81e,exp2_scaled,experiments\exp2_scaled\results\logreg_lime\seed_42\n_200\results.json,adult,logreg,lime,845,1,,1,LIME top local factors: capital-gain: 0.1537; marital-status_Married-civ-spouse: 0.0633; marital-status_Never-married: -0.0493; occupation_Craft-repair: 0.0469; sex_Female: -0.0342; education-num: 0.0313; relationship_Own-child: -0.0285; education_HS-grad: 0.0221; marital-status_Divorced: -0.0187; relationship_Husband: 0.0036,90,TP,42,200,"{""cost"": 2.905000001192093, ""faithfulness_gap"": 0.682215572568504, ""fidelity"": 0.9442479466247053, ""runtime_ms"": 2.905000001192093, ""sparsity"": 0.09259259259259259, ""stability"": -0.004456019159719122}"
